Status,Cov Matrix,Threshold,"Component 
Number","Correct 
Num",Accuracy,"Converge 
Step"
train,diag,0.0001,2,123,54.67 ,5
train,full,1.00E-05,2,123,54.67 ,33
train,diag,0.001,2,122,54.22 ,3
train,full,0.001,2,122,54.22 ,4
train,full,0.0001,2,122,54.22 ,5
train,spherical,0.001,2,120,53.33 ,6
train,diag,1.00E-05,2,120,53.33 ,38
train,spherical,1.00E-05,2,119,52.89 ,88
train,spherical,0.0001,2,117,52.00 ,80
test,spherical,1.00E-05,2,117,52.00 ,88
test,spherical,0.0001,2,115,51.11 ,80
train,spherical,0.001,1,114,50.67 ,2
train,spherical,0.0001,1,114,50.67 ,2
train,spherical,1.00E-05,1,114,50.67 ,2
train,diag,0.001,1,114,50.67 ,2
train,diag,0.0001,1,114,50.67 ,2
train,diag,1.00E-05,1,114,50.67 ,2
train,full,0.001,1,114,50.67 ,2
train,full,0.0001,1,114,50.67 ,2
train,full,1.00E-05,1,114,50.67 ,2
test,spherical,0.001,1,112,49.78 ,2
test,spherical,0.0001,1,112,49.78 ,2
test,spherical,1.00E-05,1,112,49.78 ,2
test,spherical,1.00E-05,3,112,49.78 ,110
test,diag,0.001,1,112,49.78 ,2
test,diag,0.0001,1,112,49.78 ,2
test,diag,1.00E-05,1,112,49.78 ,2
test,full,0.001,1,112,49.78 ,2
test,full,0.0001,1,112,49.78 ,2
test,full,1.00E-05,1,112,49.78 ,2
train,spherical,0.0001,3,111,49.33 ,103
test,spherical,0.0001,3,111,49.33 ,103
train,spherical,1.00E-05,3,111,49.33 ,110
test,full,0.001,2,103,45.78 ,4
test,full,0.0001,2,103,45.78 ,5
test,full,1.00E-05,2,103,45.78 ,33
test,diag,0.001,2,102,45.33 ,3
test,diag,1.00E-05,2,102,45.33 ,38
test,diag,0.0001,2,101,44.89 ,5
test,spherical,0.001,2,100,44.44 ,6
train,diag,0.0001,5,89,39.56 ,113
train,diag,1.00E-05,5,89,39.56 ,119
train,diag,1.00E-05,4,87,38.67 ,161
test,spherical,0.001,3,85,37.78 ,6
train,full,1.00E-05,4,84,37.33 ,93
train,full,0.0001,4,83,36.89 ,78
train,spherical,0.001,3,82,36.44 ,6
train,spherical,1.00E-05,5,81,36.00 ,153
train,diag,1.00E-05,6,80,35.56 ,257
test,diag,0.0001,5,79,35.11 ,113
train,diag,0.0001,4,78,34.67 ,66
test,diag,1.00E-05,5,78,34.67 ,119
train,diag,0.001,3,76,33.78 ,4
train,spherical,1.00E-05,4,75,33.33 ,89
test,diag,1.00E-05,4,74,32.89 ,161
test,diag,1.00E-05,6,74,32.89 ,257
train,full,0.001,3,73,32.44 ,4
test,full,0.001,3,73,32.44 ,4
test,diag,0.001,3,71,31.56 ,4
test,full,1.00E-05,7,71,31.56 ,316
test,full,1.00E-05,4,70,31.11 ,93
test,spherical,1.00E-05,8,69,30.67 ,164
test,full,0.0001,4,69,30.67 ,78
train,full,1.00E-05,6,68,30.22 ,270
test,full,1.00E-05,6,68,30.22 ,270
train,diag,1.00E-05,3,67,29.78 ,123
train,full,1.00E-05,7,67,29.78 ,316
train,spherical,0.0001,5,66,29.33 ,22
train,full,1.00E-05,3,66,29.33 ,126
train,full,1.00E-05,5,66,29.33 ,66
test,diag,0.0001,4,65,28.89 ,66
test,diag,0.0001,6,65,28.89 ,80
train,full,0.0001,5,64,28.44 ,48
test,spherical,1.00E-05,4,63,28.00 ,89
test,spherical,1.00E-05,5,63,28.00 ,153
test,full,1.00E-05,3,63,28.00 ,126
test,spherical,1.00E-05,9,62,27.56 ,217
train,full,0.001,5,62,27.56 ,29
train,diag,0.001,4,61,27.11 ,5
train,diag,0.0001,3,60,26.67 ,72
train,diag,0.0001,7,60,26.67 ,66
test,diag,1.00E-05,3,60,26.67 ,123
train,diag,1.00E-05,7,60,26.67 ,69
test,diag,0.0001,3,59,26.22 ,72
test,diag,0.0001,7,59,26.22 ,66
