Status,Cov Matrix,Threshold,"Component 
Number","Correct 
Num",Accuracy,"Converge 
Step"
test,full,0.001,2,141,64.09 ,3
test,full,0.0001,2,140,63.64 ,36
test,full,1.00E-05,2,140,63.64 ,50
test,spherical,0.001,2,134,60.91 ,6
test,diag,0.001,2,132,60.00 ,9
train,spherical,0.001,2,130,59.09 ,6
train,full,0.001,2,129,58.64 ,3
train,full,1.00E-05,2,127,57.73 ,50
test,diag,0.0001,2,127,57.73 ,81
train,full,0.0001,2,126,57.27 ,36
train,diag,0.001,2,124,56.36 ,9
train,spherical,0.0001,2,122,55.45 ,39
train,spherical,1.00E-05,2,122,55.45 ,50
test,diag,1.00E-05,2,119,54.09 ,144
train,diag,1.00E-05,3,113,51.36 ,20
test,spherical,0.0001,2,113,51.36 ,39
train,diag,0.0001,2,113,51.36 ,81
train,diag,0.0001,3,112,50.91 ,14
test,spherical,1.00E-05,2,112,50.91 ,50
train,spherical,0.001,1,110,50.00 ,2
test,spherical,0.001,1,110,50.00 ,2
train,spherical,0.0001,1,110,50.00 ,2
test,spherical,0.0001,1,110,50.00 ,2
train,spherical,1.00E-05,1,110,50.00 ,2
test,spherical,1.00E-05,1,110,50.00 ,2
train,diag,0.001,1,110,50.00 ,2
test,diag,0.001,1,110,50.00 ,2
train,diag,0.0001,1,110,50.00 ,2
test,diag,0.0001,1,110,50.00 ,2
train,diag,1.00E-05,1,110,50.00 ,2
test,diag,1.00E-05,1,110,50.00 ,2
train,full,0.001,1,110,50.00 ,2
test,full,0.001,1,110,50.00 ,2
train,full,0.0001,1,110,50.00 ,2
test,full,0.0001,1,110,50.00 ,2
train,full,1.00E-05,1,110,50.00 ,2
test,full,1.00E-05,1,110,50.00 ,2
train,diag,0.001,3,110,50.00 ,7
train,spherical,0.0001,3,110,50.00 ,19
train,spherical,0.001,3,109,49.55 ,7
train,diag,1.00E-05,2,109,49.55 ,144
train,full,0.0001,3,107,48.64 ,7
train,full,1.00E-05,3,107,48.64 ,15
train,spherical,1.00E-05,3,107,48.64 ,37
test,spherical,1.00E-05,3,107,48.64 ,37
train,full,0.001,3,106,48.18 ,3
test,spherical,0.0001,3,105,47.73 ,19
test,diag,1.00E-05,3,105,47.73 ,20
test,diag,0.0001,3,104,47.27 ,14
test,spherical,0.001,3,102,46.36 ,7
test,diag,0.001,3,101,45.91 ,7
test,full,1.00E-05,3,100,45.45 ,15
test,full,0.0001,3,98,44.55 ,7
test,full,0.001,3,97,44.09 ,3
train,spherical,1.00E-05,4,81,36.82 ,62
train,full,1.00E-05,4,81,36.82 ,114
train,diag,1.00E-05,4,77,35.00 ,24
train,diag,0.001,4,75,34.09 ,10
train,spherical,0.0001,4,75,34.09 ,11
train,diag,0.0001,4,75,34.09 ,16
train,spherical,0.001,4,73,33.18 ,4
test,spherical,1.00E-05,4,73,33.18 ,62
train,full,0.001,4,71,32.27 ,5
train,full,0.0001,4,70,31.82 ,21
test,spherical,0.0001,4,67,30.45 ,11
test,full,0.001,4,66,30.00 ,5
test,full,1.00E-05,5,66,30.00 ,100
test,full,1.00E-05,4,66,30.00 ,114
test,spherical,0.001,4,65,29.55 ,4
train,diag,0.0001,5,65,29.55 ,49
train,diag,1.00E-05,5,65,29.55 ,51
test,full,0.0001,4,64,29.09 ,21
train,full,1.00E-05,5,63,28.64 ,100
train,diag,0.001,5,61,27.73 ,12
test,diag,0.0001,4,61,27.73 ,16
test,diag,1.00E-05,4,61,27.73 ,24
test,full,0.0001,7,61,27.73 ,30
train,diag,0.0001,6,61,27.73 ,40
